,imdb_title_id,title,tags
7862,tt0046703,Amar,"['Drama', 'Musical', 'Romance', 'MehboobKhan', 'S.K.Kalla', 'AghaJaniKashmiri', 'Madhubala', 'Nimmi', 'DilipKumar', 'Jayant', 'Ulhas', 'Mukri', 'HusnBanu', 'Amar', 'Siddiqui', 'Murad', 'Pandey', 'Haroon', 'AghaMiraz', 'ShakeelNomani', 'Shahin', 'Anju', 'Rai', 'lives', 'a', 'wealthy', 'lifestyle', 'with', 'her', 'widowed', 'dad', 'in', 'a', 'palatial', 'house.', 'She', 'is', 'now', 'of', 'marriageable', 'age', 'and', 'her', 'dad', 'has', 'arranged', 'her', 'marriage', 'with', 'Advocate', 'Amarnath.', 'Both', 'Anju', 'and', '...']"
7899,tt0046799,Boot Polish,"['Comedy', 'Drama', 'Family', 'PrakashArora', 'BhanuPratap', 'BhanuPratap', 'KumariNaaz', 'RattanKumar', 'DavidAbraham', 'ChandBurke', 'Veera', 'BhupendraKapoor', 'Shailendra', 'Mohanbali', 'Nissar', 'BhudoAdvani', 'PrabhuArora', 'Preteen', 'brother', 'and', 'sister', 'abandoned', 'by', 'their', 'father', 'to', 'care', 'of', 'an', 'abusive', 'prostitute', 'aunt', 'survive', 'life', 'in', 'an', 'Indian', ""squatters'"", 'camp', 'aided', 'by', 'a', 'friendly', 'cripple', 'by', 'learning', 'to', 'shine', 'shoes', 'instead', 'of', 'begging.']"
8156,tt0047561,Taxi Driver,"['Musical', 'Romance', 'ChetanAnand', 'ChetanAnand', 'UmaAnand', 'DevAnand', 'KalpanaKartik', 'SheilaRamani', 'JohnnyWalker', 'BhagwanSinha', 'Patanjal', 'Shujju', 'KamalSingh', 'VernonCorke', 'KrishanDhawan', 'RashidKhan', 'M.A.Latif', 'ParveenKaul', 'HamidSayani', 'Mangal', 'drives', 'a', 'taxi', 'by', 'day', 'then', 'drinks', 'at', 'night', 'listens', 'to', 'his', 'singer', 'girlfriend', 'Sylvie', 'and', 'then', 'goes', 'into', 'a', 'drunken', 'stupor', '-', 'and', 'wakes', 'up', 'with', 'a', 'hangover.', 'One', 'day', 'while', 'assisting', '...']"
8283,tt0047990,Devdas,"['Drama', 'Musical', 'Romance', 'BimalRoy', 'RajinderSinghBedi', 'SaratchandraChatterjee', 'DilipKumar', 'SuchitraSen', 'Vyjayanthimala', 'Motilal', 'NasirHussain', 'Murad', 'KanhaiyalalChaturvedi', 'MoniChatterjee', 'Iftekhar', 'Shivraj', 'NanaPalsikar', 'AshimKumar', 'RamKumar', 'VikramKapoor', 'Ved', 'The', 'scion', 'of', 'a', 'wealthy', 'landowner', 'family', 'turns', 'to', 'alcohol', 'and', 'self-pity', 'and', 'slowly', 'self-destructs', 'after', 'class', 'differences', 'force', 'him', 'to', 'break', 'off', 'his', 'relationship', 'with', 'his', 'childhood', 'sweetheart.']"
8431,tt0048392,Mr. & Mrs. '55,"['Comedy', 'Musical', 'Romance', 'GuruDutt', 'AbrarAlvi', 'Madhubala', 'GuruDutt', 'LalitaPawar', 'JohnnyWalker', 'Yasmin', 'Kumkum', 'TunTun', 'Cuckoo', 'Radhika', 'Anwari', 'Agha', 'Haroon', 'Rooplaxmi', 'MoniChatterjee', 'AlNasir', 'A', 'young', 'naive', 'heiress', 'in', 'custody', 'of', 'a', 'martinet', 'and', 'flamingly', 'feminist', 'aunt', 'is', 'forced', 'into', 'a', ""'marriage"", 'of', ""convenience'"", 'with', 'an', 'unemployed', 'cartoonist', 'in', 'an', 'attempt', 'to', 'save', 'her', 'millions', '-', 'a', '...']"
8457,tt0048473,Il lamento sul sentiero,"['Drama', 'SatyajitRay', 'BibhutibhushanBandyopadhyay', 'SatyajitRay', 'KanuBannerjee', 'KarunaBannerjee', 'ChunibalaDevi', 'UmaDasGupta', 'SubirBanerjee', 'RunkiBanerjee', 'RebaDevi', 'AparnaDevi', 'TulsiChakraborty', 'HarenBanerjee', 'RampadaDas', 'NibhananiDevi', 'RamaGangopadhaya', 'RomaGanguli', 'BinoyMukherjee', 'Impoverished', 'priest', 'Harihar', 'Ray', 'dreaming', 'of', 'a', 'better', 'life', 'for', 'himself', 'and', 'his', 'family', 'leaves', 'his', 'rural', 'Bengal', 'village', 'in', 'search', 'of', 'work.']"
8513,tt0048613,Shree 420,"['Comedy', 'Crime', 'Drama', 'RajKapoor', 'KhwajaAhmadAbbas', 'KhwajaAhmadAbbas', 'Nargis', 'RajKapoor', 'Nadira', 'Nemo', 'LalitaPawar', 'M.Kumar', 'HariShivdasani', 'NanaPalsikar', 'BhudoAdvani', 'PesiPatel', 'RameshSinha', 'RashidKhan', 'SheelaVaz', 'S.P.Berry', 'Kathana', 'When', 'a', 'young', 'man', 'from', 'a', 'small', 'town', 'decides', 'to', 'make', 'it', 'big', 'in', 'a', 'city', 'he', 'faces', 'several', 'challenges.']"
8593,tt0048956,L'invitto,"['Drama', 'SatyajitRay', 'BibhutibhushanBandyopadhyay', 'SatyajitRay', 'KamalaAdhikari', 'LalchandBanerjee', 'KaliBannerjee', 'KanuBannerjee', 'KarunaBannerjee', 'PanchananBhattacharya', 'DebabrataChakraborty', 'HarendrakumarChakravarti', 'HemantaChatterjee', 'MeenakshiDevi', 'SubodhGanguli', 'SmaranGhosal', 'CharuprakashGhosh', 'SantiGupta', 'AjayMitra', 'Following', 'his', ""father's"", 'death', 'a', 'boy', 'leaves', 'home', 'to', 'study', 'in', 'Calcutta', 'while', 'his', 'mother', 'must', 'face', 'a', 'life', 'alone.']"
8638,tt0049041,C.I.D.,"['Action', 'Crime', 'Musical', 'RajKhosla', 'InderRajAnand', 'DevAnand', 'Shakila', 'JohnnyWalker', 'K.N.Singh', 'Kumkum', 'BirSakuja', 'MinooMumtaz', 'Mehmood', 'TunTun', 'JagdishRaj', 'SheelaVaz', 'PrabhuDayal', 'RameshSharma', 'PaulSharma', 'SudeshSharma', 'A', 'newspaper', 'editor', 'gets', 'murdered', 'when', 'he', 'was', 'about', 'to', 'expose', 'the', 'underworld', 'links', 'of', 'a', 'rich', 'person.', 'So', 'a', 'C.I.D', 'inspector', 'gets', 'assigned', 'to', 'investigate', 'the', 'murder', 'case.']"
8649,tt0049072,Chori Chori,"['Comedy', 'Musical', 'Romance', 'AnantThakur', 'AghaJaniKashmiri', 'AghaJaniKashmiri', 'Nargis', 'RajKapoor', 'Gope', 'MasterBhagwan', 'Pran', 'DavidAbraham', 'Mukri', 'RajMehra', 'IndiraBansal', 'AmirBanu', 'Rajasulochana', 'Neelam', 'JohnnyWalker', 'Maruti', 'A', 'spoiled', 'rich', 'girl', 'on', 'the', 'run', 'travels', 'with', 'a', 'reporter', 'looking', 'for', 'a', 'news', 'scoop.']"
8764,tt0049378,Jagte Raho,"['Comedy', 'Drama', 'AmitMitra', 'SombhuMitra', 'KhwajaAhmadAbbas', 'AmitMitra', 'PradeepKumar', 'SumitraDevi', 'SmritiBiswas', 'PahadiSanyal', 'SulochanaChatterjee', 'DaisyIrani', 'Nemo', 'Motilal', 'NanaPalsikar', 'Iftekhar', 'VikramKapoor', 'MoniChatterjee', 'Parsuram', 'BhupendraKapoor', 'Krishnakant', 'An', 'innocent', 'guy', 'who', 'has', 'arrived', 'from', 'a', 'village', 'to', 'Kolkata', 'gets', 'himself', 'involved', 'into', 'trouble', 'in', 'search', 'of', 'water', 'after', 'he', 'gets', 'thirsty', 'in', 'the', 'middle', 'of', 'the', 'night.']"
8768,tt0049393,Kabuliwala,"['Drama', 'TapanSinha', 'PremendraMitra', 'TapanSinha', 'ChhabiBiswas', 'OindrilaTagore', 'RadhamohanBhattacharya', 'ManjuDey', 'KaliBannerjee', 'NutuBasu', 'JayashreeBiswas', 'JibenBose', 'ParijatBose', 'PiyushBose', 'LaluBurman', 'RasurajChakraborthy', 'NripatiChatterjee', 'ShrabaniChowdhury', 'DhirajDas', 'Rahmat', 'a', 'middle-aged', 'fruit', 'seller', 'from', 'Afghanistan', 'comes', 'to', 'Calcutta', 'to', 'hawk', 'his', 'merchandise', 'and', 'befriends', 'a', 'small', 'Bengali', 'girl', 'called', 'Mini.']"
9019,tt0050188,Mother India,"['Drama', 'Musical', 'Family', 'MehboobKhan', 'WajahatMirza', 'S.AliRaza', 'Nargis', 'SunilDutt', 'RajendraKumar', 'RaajKumar', 'KanhaiyalalChaturvedi', 'JillooMaa', 'Kumkum', 'Chanchal', 'SheelaNaik', 'Mukri', 'Siddiqui', 'RamShastri', 'FakirMohammad', 'Geeta', 'Hameeda', 'In', 'this', 'melodrama', 'a', 'poverty-stricken', 'woman', 'raises', 'her', 'sons', 'through', 'many', 'trials', 'and', 'tribulations.', 'But', 'no', 'matter', 'the', 'struggles', 'always', 'sticks', 'to', 'her', 'own', 'moral', 'code.']"
9075,tt0050322,Due occhi e dodici mani,"['Comedy', 'Crime', 'Drama', 'ShantaramRajaramVankudre', 'G.D.Madgulkar', 'ShantaramRajaramVankudre', 'Sandhya', 'Ulhas', 'B.M.Vyas', 'PaulSharma', 'S.K.Singh', 'Gajendra', 'G.Ingawale', 'Chandarkar', 'Tyagraj', 'AshaDevi', 'ShankarraoBhosle', 'Samar', 'Sunil', 'BaburaoPendharkar', 'Progressive', 'reform-minded', 'young', 'warden', 'gets', 'permission', 'to', 'take', 'six', 'surly', 'murderers', 'from', 'prison', 'to', 'dilapidated', 'country', 'farm', 'to', 'rehabilitate', 'it', 'and', 'themselves', 'through', 'hard', 'work', 'and', 'kindly', 'guidance.']"
9130,tt0050484,Harano Sur,"['Drama', 'Romance', 'AjoyKar', 'NripendrakrishnaChatterjee', 'KhitishAcharya', 'ShishirBatabyal', 'ParijatBose', 'IraChakraborty', 'DhirajDas', 'LinaDebi', 'ChandrabatiDevi', 'UtpalDutt', 'KajariGuha', 'UttamKumar', 'PreetiMajumdar', 'DipakMukherjee', 'HarenMukherjee', 'ShailenMukherjee', 'KhagenPathak', 'A', 'lady', 'doctor', 'rescue', 'an', 'amnesiac', 'patient', 'and', 'fells', 'in', 'love', 'with', 'him.']"
9192,tt0050665,Madhumati,"['Fantasy', 'Musical', 'Mystery', 'BimalRoy', 'RitwikGhatak', 'RajinderSinghBedi', 'DilipKumar', 'Vyjayanthimala', 'JohnnyWalker', 'Pran', 'Jayant', 'Tiwari', 'Misra', 'BaijSharma', 'BhudoAdvani', 'Jagdish', 'Sagar', 'RanjitSood', 'ShivjiBhai', 'TarunBose', 'A', 'young', 'man', 'takes', 'shelter', 'in', 'a', 'mansion', 'when', 'a', 'landslide', 'blocks', 'his', 'route', 'to', 'the', 'railway', 'station.', 'Then', 'he', 'finds', 'the', 'mansion', 'familiar', 'and', 'soon', 'learns', 'about', 'the', 'story', 'of', 'his', 'previous', 'birth.']"
